  @relation pacmanfilterDist
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE GUno {True, False}
    @ATTRIBUTE GDos {True, False}
    @ATTRIBUTE GTres {True, False}
    @ATTRIBUTE GCuatro {True, False}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
10,9,1,1,1,1,True,False,False,True,5,3,3,1,5,1,17,3,South
10,8,1,0,1,1,True,False,False,True,6,3,3,1,5,1,17,3,South
10,7,1,0,1,1,True,False,False,True,5,3,3,1,5,1,17,4,South
10,6,1,0,1,1,True,False,False,True,4,3,3,1,5,1,18,4,South
10,5,1,1,1,1,True,False,False,True,4,4,3,1,5,1,18,4,South
10,4,1,1,1,1,True,False,False,True,5,4,3,1,5,1,18,4,West
9,4,1,1,1,1,True,False,False,True,5,5,3,1,5,1,18,4,West
8,4,1,1,1,1,True,False,False,True,5,4,3,1,5,1,18,5,West
7,4,1,1,1,1,True,False,False,True,4,4,3,1,5,1,17,5,West
6,4,1,1,1,1,True,False,False,True,4,4,3,1,5,1,17,4,West
5,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,16,4,West
4,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,17,4,East
5,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,16,4,East
6,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,16,3,East
7,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,16,3,East
8,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,16,3,East
9,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,17,3,East
10,4,1,1,1,1,False,False,False,True,1,1,3,1,5,1,17,3,North
10,5,1,1,1,1,False,False,False,True,1,1,3,1,5,1,18,3,East
11,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,17,3,East
12,5,1,1,0,0,False,False,False,True,1,1,3,1,5,1,18,3,East
13,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,17,3,East
14,5,1,1,1,1,False,False,False,True,1,1,3,1,5,1,18,3,East
15,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,18,3,East
16,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,18,4,East
17,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,18,4,East
18,5,1,0,1,1,False,False,False,True,1,1,3,1,5,1,18,3,Stop
1,11,0,1,0,1,True,True,True,True,6,5,6,9,8,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,5,6,9,7,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,6,5,6,8,8,11,14,5,Stop
1,11,0,1,0,1,True,True,True,True,6,5,5,8,8,11,14,5,Stop
1,11,0,1,0,1,True,True,True,True,6,4,5,8,7,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,4,4,8,7,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,5,4,8,8,11,14,6,East
2,11,1,1,0,0,True,True,True,True,7,5,4,7,7,11,14,7,East
3,11,1,1,0,0,True,True,True,True,6,5,5,7,6,11,14,7,East
4,11,1,1,0,0,True,True,True,True,5,5,4,7,5,11,15,7,East
5,11,1,1,0,1,True,True,False,True,5,4,4,7,5,1,16,7,East
6,11,1,1,0,1,True,True,False,True,5,3,4,7,5,1,16,7,East
7,11,1,1,0,0,True,True,False,True,5,3,3,7,5,1,15,7,East
8,11,1,1,0,0,True,True,False,True,5,4,3,7,5,1,14,7,East
9,11,1,1,0,0,True,True,False,True,5,5,3,8,5,1,15,7,East
10,11,1,1,0,1,True,True,False,True,6,5,3,9,5,1,16,7,South
10,10,0,1,1,1,True,True,False,True,7,5,3,8,5,1,15,7,South
10,9,1,1,1,1,True,True,False,True,6,5,4,8,5,1,16,7,South
10,8,1,0,1,1,True,True,False,True,6,4,4,7,5,1,16,7,South
10,7,1,0,1,1,True,True,False,True,6,3,3,7,5,1,15,7,West
9,7,1,1,1,1,True,True,False,True,5,3,2,7,5,1,15,8,West
8,7,1,1,1,1,True,True,False,True,5,4,1,7,5,1,14,8,West
7,7,1,1,1,0,True,True,False,True,5,4,1,8,5,1,14,9,West
6,7,1,1,1,0,True,True,False,True,5,4,1,7,5,1,13,9,West
5,7,1,1,1,0,True,True,False,True,6,4,1,6,5,1,13,9,West
4,7,1,1,1,0,True,True,False,True,5,4,1,5,5,1,12,9,West
3,7,1,1,1,0,True,True,False,True,4,4,2,5,5,1,11,9,West
2,7,1,1,1,0,True,True,False,True,4,5,2,4,5,1,11,9,West
1,7,0,1,1,1,True,True,False,True,5,5,3,4,5,1,11,9,South
1,6,0,0,1,1,True,True,False,True,5,5,3,3,5,1,12,9,South
