@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R1-2,19,21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
0,1,0,1,0,3,2,5,0,-9,1,-2,1,-1,2,-3,East
1,1,0,1,0,2,1,4,-1,-9,0,-2,0,-1,1,-3,South
1,1,1,1,0,1,0,3,-1,-8,0,-1,3,-8,1,-2,South
1,1,1,1,0,0,0,2,-1,-7,1,-7,3,-7,1,-1,South
0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,East
1,1,0,0,10,6,6,17,4,-6,4,-2,6,0,12,-5,East
1,1,0,0,9,5,5,16,3,-6,3,-2,5,0,11,-5,East
1,1,0,0,8,4,4,15,2,-6,2,-2,4,0,10,-5,East
1,1,0,1,7,3,3,14,1,-6,1,-2,3,0,9,-5,East
1,1,0,1,6,2,2,13,0,-6,0,-2,2,0,8,-5,South
1,0,1,1,5,1,3,12,0,-5,0,-1,2,1,8,-4,South
1,1,1,1,4,0,4,11,0,-4,-3,-8,2,2,8,-3,North
1,0,1,1,5,0,3,12,0,-5,-3,-9,2,1,8,-4,North
1,1,0,1,6,0,2,13,0,-6,-3,-10,2,0,8,-5,East
1,1,0,0,7,0,1,12,-1,-6,-4,-10,1,0,7,-5,East
1,1,0,0,8,0,0,11,-2,-6,-5,-10,-3,-10,6,-5,East
1,1,0,0,9,0,0,10,-3,-6,-6,-10,-4,-10,5,-5,East
1,1,0,1,10,0,0,9,-4,-6,-7,-10,-5,-10,4,-5,South
0,1,1,1,9,0,0,8,-4,-5,-7,-9,-5,-9,4,-4,South
1,1,1,1,8,0,0,7,-4,-4,-7,-8,-5,-8,4,-3,South
1,0,1,1,7,0,0,6,-4,-3,-7,-7,-5,-7,4,-2,South
1,0,1,1,6,0,0,5,-4,-2,-7,-6,-5,-6,4,-1,South
1,0,1,1,5,0,0,4,-4,-1,-7,-5,-5,-5,4,0,South
1,1,1,1,4,0,0,5,-4,0,-7,-4,-5,-4,4,1,West
1,1,1,1,3,0,0,6,-3,0,-6,-4,-4,-4,5,1,West
1,1,1,1,2,0,0,7,-2,0,-5,-4,-3,-4,6,1,West
1,1,0,1,1,0,0,8,-1,0,-4,-4,-2,-4,7,1,West
1,1,0,1,0,0,0,9,-5,-4,-3,-4,-1,-4,8,1,East
1,1,0,1,0,0,0,8,-6,-4,-4,-4,-2,-4,7,1,East
1,1,1,1,0,0,0,7,-7,-4,-5,-4,-3,-4,6,1,East
1,1,1,1,0,0,0,6,-8,-4,-6,-4,-4,-4,5,1,East
1,1,1,1,0,0,0,5,-9,-4,-7,-4,-5,-4,4,1,East
1,1,0,1,0,0,0,4,-10,-4,-8,-4,-6,-4,3,1,East
1,1,0,0,0,0,0,3,-11,-4,-9,-4,-7,-4,2,1,East
1,1,0,1,0,0,0,2,-12,-4,-10,-4,-8,-4,1,1,East
0,1,0,1,10,8,9,20,4,-6,5,-3,9,0,13,-7,East
1,1,0,0,8,6,9,18,2,-6,4,-2,9,0,12,-7,East
1,1,0,0,7,5,8,16,1,-6,3,-2,8,0,11,-6,East
1,1,0,0,7,3,8,16,1,-6,2,-1,7,-1,10,-5,East
1,1,0,1,7,2,6,14,1,-6,1,-1,5,-1,9,-6,South
0,1,1,1,6,2,6,13,1,-5,1,-1,5,-1,8,-5,South
1,1,1,1,5,1,6,12,1,-4,1,0,5,-1,8,-4,East
1,1,1,1,5,0,4,11,0,-5,-3,-8,4,0,7,-4,East
1,1,0,1,7,0,4,9,-2,-5,-4,-8,3,-1,6,-4,East
1,1,0,1,8,0,2,8,-3,-5,-5,-8,1,-1,4,-4,East
1,1,0,1,9,0,1,6,-4,-5,-6,-8,0,-1,3,-4,East
1,1,1,1,10,0,3,4,-5,-5,-7,-8,-2,-1,1,-4,South
1,0,1,1,8,0,3,3,-4,-4,-7,-7,-2,-1,0,-3,South
1,0,1,1,7,0,3,1,-4,-3,-7,-6,-2,1,0,-2,South
1,0,1,1,7,0,3,0,-4,-3,-7,-5,-1,2,-3,-5,South
1,1,1,1,5,0,3,0,-3,-2,-7,-4,-1,2,-3,-4,South
1,1,1,1,3,0,4,0,-2,-1,-7,-3,-1,3,-3,-3,North
1,1,1,1,3,0,4,0,-2,-1,-7,-4,-2,2,-3,-4,North
1,0,1,1,5,0,2,0,-3,-2,-7,-5,-1,1,-3,-5,West
1,1,1,1,3,0,2,0,-2,-1,-6,-5,1,1,-2,-5,West
0,1,1,1,2,0,3,0,-1,-1,-5,-5,2,1,-1,-5,North
1,1,1,1,3,0,2,0,-1,-2,-5,-6,2,0,-1,-6,East
1,1,1,1,3,0,1,0,-1,-2,-6,-6,1,0,-2,-6,East
1,0,1,1,3,0,0,0,-1,-2,-7,-6,-5,-6,-3,-6,South
