@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,0,1,0,2,7,0,-2,-4,-2,0,7,0,14,-4,West
1,1,0,1,0,0,7,0,-2,-4,0,-4,7,0,14,-4,West
1,1,1,0,0,0,7,0,-6,0,-4,0,3,4,10,0,West
1,1,0,0,0,0,0,0,-5,-4,-3,-4,-1,-4,11,-4,West
1,1,0,0,0,0,0,0,-7,-4,-5,-4,-3,-4,9,-4,West
1,1,0,0,0,0,0,0,-8,-4,-6,-4,-4,-4,8,-4,West
1,1,0,0,0,0,0,0,-8,-4,-6,-4,-4,-4,8,-4,West
1,1,0,0,0,0,0,0,-3,-4,-1,-4,1,-4,13,-4,West
1,1,0,1,0,0,0,0,-2,-4,0,-4,2,-4,14,-4,West
1,1,0,1,0,0,0,0,-2,-4,0,-4,2,-4,14,-4,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,1,0,0,0,0,0,0,-8,0,-6,0,-4,0,8,0,West
1,1,0,0,0,0,0,0,-9,0,-7,0,-5,0,7,0,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,0,0,0,0,0,0,-8,0,-6,0,-4,0,8,0,West
1,1,1,0,0,0,0,0,-6,0,-4,0,-2,0,10,0,West
1,1,1,0,0,0,0,0,-4,0,-2,0,0,0,12,0,West
1,1,0,0,0,0,0,0,-8,0,-6,0,-4,0,8,0,West
1,1,0,0,0,0,0,0,-2,0,0,0,2,0,14,0,West
1,1,0,0,0,0,0,0,-9,0,-7,0,-5,0,7,0,West
1,1,1,0,0,0,0,0,-6,0,-4,0,-2,0,10,0,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,1,1,0,0,0,0,0,-4,0,-2,0,0,0,12,0,West
1,1,0,0,0,0,0,0,-5,0,-3,0,-1,0,11,0,West
1,1,0,0,0,0,0,0,-8,-4,-6,-4,-4,-4,8,-4,West
1,1,0,0,0,0,0,0,-7,-4,-5,-4,-3,-4,9,-4,West
1,1,0,0,0,0,0,0,-7,-4,-5,-4,-3,-4,9,-4,West
1,0,1,1,0,0,0,0,-7,-1,-5,-1,-3,-1,9,-1,West
1,1,0,1,0,0,0,0,-11,-4,-9,-4,-7,-4,5,-4,West
1,1,0,0,0,0,0,0,-9,-4,-7,-4,-5,-4,7,-4,West
1,1,0,0,0,0,0,0,-7,-4,-5,-4,-3,-4,9,-4,West
1,1,1,0,0,0,0,0,-6,0,-4,0,-2,0,10,0,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
