@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,16-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R5-8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,0,1,5,0,13,-1,0,1,2,3,-1,-2,10,3,West
1,1,0,0,0,0,0,7,-1,-8,-5,-6,-5,-4,-5,7,0,West
1,1,1,1,4,5,4,6,4,-1,3,4,-1,0,4,3,2,West
1,1,1,1,3,6,4,6,2,-1,2,4,-2,1,3,5,0,West
1,1,1,1,1,5,0,2,4,-1,0,1,-4,-1,-7,-1,0,West
1,1,1,1,0,5,0,2,2,-4,-8,1,-4,0,-8,-1,0,West
1,1,1,1,2,0,0,3,1,-1,1,1,-8,3,-8,1,-2,West
1,1,0,1,0,0,0,4,2,-1,-9,1,-9,3,-9,1,-3,West
1,1,1,1,0,0,0,3,1,-3,-8,-1,-8,1,-8,-1,-2,West
0,1,1,0,5,12,18,14,12,4,1,5,7,13,5,9,6,East
0,1,1,1,0,8,14,16,11,0,-3,7,1,11,3,10,7,East
1,1,1,1,0,6,14,16,10,-1,-3,5,1,11,3,9,6,East
1,1,1,1,0,4,14,14,9,-2,-3,3,1,10,4,8,7,East
1,1,1,1,0,2,12,12,8,-3,-3,2,0,9,3,6,7,East
1,1,1,1,0,2,12,12,7,-4,-3,1,-1,9,3,4,7,East
0,1,1,1,0,0,16,14,10,0,-4,2,-4,15,-1,12,3,East
0,1,1,1,0,0,17,15,11,0,-3,2,-3,16,-1,11,5,East
1,1,1,1,0,0,17,15,10,-1,-3,1,-3,16,-1,9,5,East
1,1,1,1,0,0,15,14,9,-2,-3,0,-3,14,-1,9,5,East
1,1,1,1,0,0,13,12,8,-3,-3,-1,-3,13,0,8,5,East
1,1,1,1,0,0,12,11,7,-4,-3,-2,-3,12,0,7,4,East
1,1,1,1,0,0,11,10,6,-5,-3,-3,-3,11,0,6,4,East
1,1,1,1,0,0,9,10,5,-6,-3,-4,-3,9,0,5,4,East
1,1,1,1,0,0,9,10,4,-7,-3,-5,-3,8,1,5,4,East
1,1,1,1,0,0,7,10,3,-8,-3,-6,-3,6,1,5,4,East
1,1,1,1,0,0,6,9,2,-9,-3,-7,-3,5,1,5,4,East
1,1,1,1,0,0,6,10,11,-8,-3,-6,-3,6,0,4,5,East
1,1,1,1,0,0,6,9,10,-9,-3,-7,-3,5,1,4,5,East
1,1,0,1,0,0,8,11,13,-5,-4,-3,-4,7,-1,8,4,East
1,1,1,1,0,0,7,12,10,-9,-3,-7,-3,3,4,6,7,East
1,1,1,1,0,0,8,15,11,-7,-4,-5,-4,5,3,8,6,East
1,1,1,1,0,0,8,15,10,-8,-4,-6,-4,5,3,8,6,East
1,1,1,1,0,0,7,13,9,-9,-4,-7,-4,4,3,8,6,East
1,1,1,1,0,0,17,0,-1,-3,-7,-1,-7,13,-4,3,-7,East
1,1,1,1,0,0,17,0,-1,-4,-7,-2,-7,12,-5,2,-7,East
1,1,1,1,0,0,17,0,-1,-5,-7,-3,-7,12,-5,1,-7,East
1,1,1,1,0,0,16,0,-1,-6,-7,-4,-7,11,-5,0,-7,East
1,1,1,1,0,0,14,0,-1,-7,-7,-5,-7,9,-5,-1,-7,East
1,1,1,1,0,0,13,0,-1,-8,-7,-6,-7,8,-5,-2,-7,East
1,1,1,0,0,0,12,0,-1,-6,-6,-4,-6,8,-4,0,-6,East
1,1,1,1,0,0,12,0,-1,-7,-6,-5,-6,8,-4,-1,-6,East
1,1,1,1,0,0,11,0,-1,-8,-6,-6,-6,7,-4,-2,-6,East
1,1,1,1,0,0,12,0,-1,-8,-7,-6,-7,7,-5,-2,-7,East
1,1,1,1,0,0,15,0,-1,-5,-8,-3,-8,12,-3,1,-8,East
1,1,1,1,0,0,12,0,-1,-8,-7,-6,-7,7,-5,-2,-7,East
1,1,0,1,0,0,11,0,-1,-6,-8,-4,-8,6,-5,0,-8,East
1,1,1,1,0,0,8,0,-1,-8,-4,-6,-4,6,-2,-2,-4,East
1,1,1,1,0,0,8,0,-1,-9,-4,-7,-4,6,-2,-3,-4,East
1,1,1,1,0,0,9,0,-1,-7,-7,-5,-7,6,-3,-1,-7,East
1,1,1,1,0,0,9,0,-1,-8,-7,-6,-7,5,-4,-2,-7,East
1,1,0,1,0,0,8,0,-1,-7,-8,-5,-8,6,-2,-1,-8,East
1,1,1,1,0,0,4,0,-1,-8,-3,-6,-3,3,1,-2,-3,East
1,1,1,1,0,0,2,0,-1,-9,-3,-7,-3,1,1,-3,-3,East
1,1,0,0,9,5,5,16,12,3,-6,3,-2,5,0,11,-5,East
