@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L1'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
8,4,1,1,1,1,False,False,True,True,1,1,3,1,12,9,14,10,0,0,9,12,0,1,12,East
9,4,1,1,1,1,False,False,True,True,1,1,3,1,12,9,14,10,0,0,8,12,0,1,11,South
9,3,1,1,1,0,False,False,True,True,1,1,3,1,12,7,14,9,0,0,7,12,0,1,12,North
9,4,1,1,1,1,False,False,True,True,1,1,3,1,13,7,14,10,0,0,7,12,0,1,11,North
9,5,1,1,1,1,False,False,True,True,1,1,3,1,13,7,14,11,0,0,6,10,0,1,10,East
10,5,1,1,1,1,False,False,True,True,1,1,3,1,13,7,14,10,0,0,5,10,0,1,9,South
10,4,1,1,1,1,False,False,True,True,1,1,3,1,14,7,14,11,0,0,7,12,0,1,10,North
11,4,1,0,1,1,False,False,True,True,1,1,3,1,13,9,15,11,0,0,7,10,0,1,9,South
11,3,1,0,1,0,False,False,True,True,1,1,3,1,13,8,14,11,0,0,7,11,0,1,10,West
10,3,1,1,1,0,False,False,True,True,1,1,3,1,13,9,14,11,0,0,9,13,0,1,11,East
11,3,1,0,1,0,False,False,True,True,1,1,3,1,13,8,15,11,0,0,7,12,0,1,10,North
11,4,1,0,1,1,False,False,True,True,1,1,3,1,12,8,15,11,0,0,5,12,0,1,9,South
11,3,1,0,1,0,False,False,True,True,1,1,3,1,12,9,16,11,0,0,7,13,0,1,10,West
10,3,1,1,1,0,False,False,True,True,1,1,3,1,12,8,16,11,0,0,7,15,0,1,11,East
11,3,1,0,1,0,False,False,True,True,1,1,3,1,12,7,17,11,0,0,5,14,0,1,10,North
11,4,1,0,1,1,False,False,True,True,1,1,3,1,12,7,17,11,0,0,4,12,0,1,9,West
10,4,1,1,1,1,False,False,True,True,1,1,3,1,12,7,16,11,0,0,5,14,0,1,10,West
9,4,1,1,1,1,False,False,True,True,1,1,3,1,13,7,17,11,0,0,7,14,0,1,11,North
9,5,1,1,1,1,False,False,True,True,1,1,3,1,13,8,16,11,0,0,7,13,0,1,10,West
