@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,28-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-L2'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute scoreNext numeric

@data
1,1,0,0,True,True,False,True,8,4,0,11,0,0,7,169,West,-2,-6,-2,-2,-3,-10,6,-5,168
1,1,0,0,True,True,False,True,7,3,0,12,0,0,8,161,West,-1,-6,-1,-2,-2,-10,7,-5,160
1,1,0,0,True,True,False,True,9,5,0,10,0,0,6,153,East,-3,-6,-3,-2,-4,-10,5,-5,152
1,1,0,0,True,True,False,True,8,4,0,11,0,0,7,145,Stop,-2,-6,-2,-2,-3,-10,6,-5,144
1,1,0,0,True,True,False,True,7,3,0,12,0,0,8,137,Stop,-1,-6,-1,-2,-2,-10,7,-5,136
1,1,0,0,True,True,False,True,7,3,0,12,0,0,8,129,West,-1,-6,-1,-2,-2,-10,7,-5,128
1,1,0,1,True,True,False,True,6,2,0,13,0,0,9,121,South,0,-6,0,-2,-1,-10,8,-5,120
0,1,1,1,True,True,False,True,6,2,0,13,0,0,9,113,East,1,-5,1,-1,0,-9,9,-4,112
0,1,1,1,True,True,False,True,6,2,0,13,0,0,9,105,South,1,-5,1,-1,0,-9,9,-4,104
1,1,1,1,True,True,False,True,5,1,0,12,0,0,8,104,East,1,-4,1,0,0,-8,9,-3,303
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,303,South,0,-4,-3,-8,-1,-8,8,-3,302
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,302,South,0,-3,-3,-7,-1,-7,8,-2,301
1,1,1,1,True,False,False,True,7,0,0,14,0,0,10,294,West,4,-3,1,-7,3,-7,12,-2,293
0,1,1,1,True,False,False,True,7,0,0,14,0,0,10,286,Stop,5,-2,2,-6,4,-6,13,-1,285
1,1,0,1,True,False,False,True,8,0,0,15,0,0,11,278,Stop,4,-4,1,-8,3,-8,12,-3,277
0,1,0,1,True,False,False,True,11,0,0,18,0,0,14,270,Stop,5,-6,2,-10,4,-10,13,-5,269
1,1,0,1,True,False,False,True,8,0,0,15,0,0,11,262,West,4,-4,1,-8,3,-8,12,-3,261
0,0,1,1,True,False,False,True,10,0,0,17,0,0,13,254,Stop,5,-5,2,-9,4,-9,13,-4,253
0,1,1,1,True,False,False,True,9,0,0,16,0,0,12,246,Stop,5,-4,2,-8,4,-8,13,-3,245
1,1,0,1,True,False,False,True,6,0,0,13,0,0,9,238,Stop,2,-4,-1,-8,1,-8,10,-3,237
1,1,1,0,True,False,False,True,5,0,0,12,0,0,8,230,West,3,-2,0,-6,2,-6,11,-1,229
1,1,1,1,True,False,False,True,6,0,0,13,0,0,9,222,West,3,-3,0,-7,2,-7,11,-2,221
1,1,1,1,True,False,False,True,7,0,0,14,0,0,10,221,East,4,-3,1,-7,3,-7,12,-2,220
1,1,1,1,True,False,False,True,6,0,0,13,0,0,9,220,East,3,-3,0,-7,2,-7,11,-2,219
1,1,1,1,True,False,False,True,5,0,0,12,0,0,8,219,East,2,-3,-1,-7,1,-7,10,-2,218
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,218,East,1,-3,-2,-7,0,-7,9,-2,217
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,217,South,0,-3,-3,-7,-1,-7,8,-2,216
0,1,1,1,True,False,False,True,6,0,0,13,0,0,9,209,Stop,1,-5,-2,-9,0,-9,9,-4,208
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,201,South,0,-3,-3,-7,-1,-7,8,-2,200
1,1,1,0,True,False,False,True,3,0,0,10,0,0,6,193,East,1,-2,-2,-6,0,-6,9,-1,192
1,1,1,0,True,False,False,True,3,0,0,8,0,0,4,185,West,-1,-2,-4,-6,-2,-6,7,-1,184
1,0,1,1,True,False,False,True,5,0,0,12,0,0,8,177,South,0,-5,-3,-9,-1,-9,8,-4,176
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,176,South,0,-4,-3,-8,-1,-8,8,-3,175
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,175,South,0,-3,-3,-7,-1,-7,8,-2,174
1,1,1,0,True,False,False,True,3,0,0,8,0,0,4,167,East,-1,-2,-4,-6,-2,-6,7,-1,166
1,1,1,1,True,False,False,True,4,0,0,7,0,0,3,166,West,-2,-2,-5,-6,-3,-6,6,-1,165
1,1,1,1,True,False,False,True,5,0,0,8,0,0,4,158,West,-2,-3,-5,-7,-3,-7,6,-2,157
1,1,1,1,True,False,False,True,4,0,0,9,0,0,5,157,West,-1,-3,-4,-7,-2,-7,7,-2,156
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,156,South,0,-3,-3,-7,-1,-7,8,-2,155
1,1,1,1,True,False,False,True,4,0,0,9,0,0,5,148,West,-1,-3,-4,-7,-2,-7,7,-2,147
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,147,South,0,-3,-3,-7,-1,-7,8,-2,146
1,1,1,0,True,False,False,True,3,0,0,10,0,0,6,139,Stop,1,-2,-2,-6,0,-6,9,-1,138
1,1,1,1,True,False,False,True,4,0,0,7,0,0,3,131,North,-2,-2,-5,-6,-3,-6,6,-1,130
1,1,1,1,True,False,False,True,5,0,0,8,0,0,4,130,West,-2,-3,-5,-7,-3,-7,6,-2,129
1,1,1,1,True,False,False,True,4,0,0,9,0,0,5,129,West,-1,-3,-4,-7,-2,-7,7,-2,128
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,128,South,0,-3,-3,-7,-1,-7,8,-2,127
1,1,1,0,True,False,False,True,3,0,0,10,0,0,6,120,West,1,-2,-2,-6,0,-6,9,-1,119
1,1,1,0,True,False,False,True,3,0,0,10,0,0,6,112,Stop,1,-2,-2,-6,0,-6,9,-1,111
1,1,1,0,True,False,False,True,6,0,0,13,0,0,9,104,East,4,-2,1,-6,3,-6,12,-1,103
1,1,1,0,True,False,False,True,5,0,0,12,0,0,8,96,North,3,-2,0,-6,2,-6,11,-1,95
1,1,1,1,True,False,False,True,6,0,0,13,0,0,9,95,East,3,-3,0,-7,2,-7,11,-2,94
1,1,1,1,True,False,False,True,5,0,0,12,0,0,8,94,East,2,-3,-1,-7,1,-7,10,-2,93
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,93,East,1,-3,-2,-7,0,-7,9,-2,92
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,92,South,0,-3,-3,-7,-1,-7,8,-2,91
1,1,1,1,True,False,False,True,5,0,0,12,0,0,8,84,East,1,-4,-2,-8,0,-8,9,-3,83
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,83,South,0,-4,-3,-8,-1,-8,8,-3,82
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,82,South,0,-3,-3,-7,-1,-7,8,-2,81
1,1,1,0,True,False,False,True,2,0,0,9,0,0,5,74,East,0,-2,-3,-6,-1,-6,8,-1,73
1,0,1,1,True,False,False,True,5,0,0,12,0,0,8,66,South,0,-5,-3,-9,-1,-9,8,-4,65
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,65,South,0,-4,-3,-8,-1,-8,8,-3,64
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,64,South,0,-3,-3,-7,-1,-7,8,-2,63
1,1,1,1,True,False,False,True,5,0,0,12,0,0,8,56,South,2,-3,-1,-7,1,-7,10,-2,55
1,1,0,1,True,False,False,True,7,0,0,14,0,0,10,48,South,3,-4,0,-8,2,-8,11,-3,47
1,1,1,1,True,False,False,True,6,0,0,13,0,0,9,47,East,3,-3,0,-7,2,-7,11,-2,46
1,1,1,1,True,False,False,True,5,0,0,12,0,0,8,46,East,2,-3,-1,-7,1,-7,10,-2,45
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,45,East,1,-3,-2,-7,0,-7,9,-2,44
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,44,South,0,-3,-3,-7,-1,-7,8,-2,43
1,1,1,0,True,False,False,True,2,0,0,9,0,0,5,36,West,0,-2,-3,-6,-1,-6,8,-1,35
1,1,1,1,True,False,False,True,4,0,0,9,0,0,5,28,West,-1,-3,-4,-7,-2,-7,7,-2,27
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,27,South,0,-3,-3,-7,-1,-7,8,-2,26
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,19,East,0,-4,-3,-8,-1,-8,8,-3,18
1,1,1,1,True,False,False,True,4,0,0,11,0,0,7,11,East,1,-3,-2,-7,0,-7,9,-2,10
1,1,1,1,True,False,False,True,3,0,0,10,0,0,6,10,South,0,-3,-3,-7,-1,-7,8,-2,9
1,1,1,1,True,False,False,True,6,0,0,13,0,0,9,2,South,3,-3,0,-7,2,-7,11,-2,1
