@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R11-18,20'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
6,7,1,1,1,1,6,0,0,2,676,675
7,7,1,0,1,1,6,0,0,2,675,674
7,6,1,0,1,1,6,0,0,4,674,673
7,7,1,0,1,1,8,0,0,4,673,672
7,8,1,0,1,1,8,0,0,2,672,671
6,8,1,1,1,1,8,0,0,2,671,670
5,8,1,1,1,1,6,0,0,2,670,869
5,9,1,1,1,1,8,0,0,0,869,868
6,9,1,1,1,1,9,0,0,0,868,867
7,9,1,0,1,1,10,0,0,0,867,866
7,8,1,0,1,1,8,0,0,0,866,865
7,7,1,0,1,1,6,0,0,0,865,864
7,6,1,0,1,1,4,0,0,0,864,863
7,5,1,0,1,1,2,0,0,0,863,862
6,5,1,1,1,1,2,0,0,0,862,861
1,3,0,1,1,0,7,6,7,6,0,-1
1,3,0,1,1,0,7,6,7,6,-1,-2
1,3,0,1,1,0,7,6,7,6,-2,-3
1,3,0,1,1,0,7,6,7,6,-3,-4
1,3,0,1,1,0,7,6,7,6,-4,-5
1,4,0,1,1,1,6,5,6,5,-5,-6
1,5,0,1,1,1,5,4,5,4,-6,-7
1,6,0,1,1,1,4,3,4,3,-7,92
1,7,0,1,1,1,3,2,3,2,92,91
1,8,0,1,1,1,2,1,2,3,91,190
1,9,0,1,1,1,1,2,1,4,190,389
1,10,0,1,0,1,0,3,2,5,389,388
2,10,1,1,0,1,0,2,1,4,388,587
2,9,1,1,1,1,0,1,0,3,587,786
2,8,1,1,1,1,0,0,0,2,786,785
1,11,0,1,0,1,11,7,7,18,0,-1
1,11,0,1,0,1,11,7,7,18,-1,-2
1,11,0,1,0,1,11,7,7,18,-2,-3
1,11,0,1,0,1,11,7,7,18,-3,-4
2,11,1,1,0,0,10,6,6,17,-4,-5
3,11,1,1,0,0,9,5,5,16,-5,-6
4,11,1,1,0,0,8,4,4,15,-6,-7
5,11,1,1,0,1,7,3,3,14,-7,-8
6,11,1,1,0,1,6,2,2,13,-8,-9
6,10,1,0,1,1,5,1,3,12,-9,190
6,9,1,1,1,1,4,0,4,11,190,189
6,10,1,0,1,1,5,0,3,12,189,188
6,11,1,1,0,1,6,0,2,13,188,187
7,11,1,1,0,0,7,0,1,12,187,386
8,11,1,1,0,0,8,0,0,11,386,385
