@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.Remove-R7-10,23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C19-L2'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,East
7,9,1,1,0,1,1,1,3,1,5,1,14,6,0,0,0,10,0,8,South
7,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,9,0,9,East
8,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,8,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,East
6,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,10,0,10,South
6,9,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,11,0,9,North
6,9,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,11,0,9,West
5,9,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,12,0,10,East
6,9,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,11,0,9,East
8,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,9,East
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
11,10,1,0,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,3,West
10,10,0,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,4,North
9,11,1,1,0,0,1,1,3,1,5,1,14,6,0,0,0,10,0,6,West
7,11,1,1,0,0,1,1,3,1,5,1,14,6,0,0,0,12,0,8,West
5,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,11,0,11,South
3,9,1,1,0,1,1,1,3,1,5,1,14,6,0,0,0,14,0,12,West
1,8,0,1,1,1,1,1,3,1,5,1,14,6,0,0,0,15,0,15,East
2,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,14,0,14,East
3,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,13,0,13,East
4,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,12,0,12,East
5,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,11,0,11,East
6,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,10,0,10,East
7,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,9,0,9,East
8,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,8,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,East
8,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,9,West
7,9,1,1,0,1,1,1,3,1,5,1,14,6,0,0,0,10,0,8,East
7,9,1,1,0,1,1,1,3,1,5,1,14,6,0,0,0,10,0,8,South
7,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,9,0,9,East
8,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,8,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,East
8,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,9,East
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
10,6,1,0,1,1,1,1,3,1,5,1,14,6,0,0,0,4,0,8,West
9,6,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,5,0,9,East
8,6,0,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,10,North
8,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,9,East
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
11,4,1,0,1,1,1,1,3,1,5,1,14,6,0,0,0,5,0,9,West
10,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,10,East
15,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,3,0,7,East
16,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,4,0,8,West
15,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,3,0,7,West
14,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,2,0,6,North
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,0,7,East
13,10,1,1,1,1,5,6,4,12,13,7,13,12,12,11,3,3,0,6,South
13,9,1,1,1,1,6,6,4,12,13,8,14,12,10,12,1,3,0,5,South
13,8,1,1,1,1,5,6,5,12,5,1,14,11,10,12,0,3,0,6,East
14,8,1,1,1,1,5,7,5,12,5,1,14,10,10,13,0,3,0,5,North
14,9,1,1,1,1,6,7,5,12,5,1,13,10,10,12,0,3,0,4,West
13,9,1,1,1,1,6,7,5,12,5,1,12,10,9,11,0,1,0,5,West
12,9,1,1,1,1,6,6,4,12,5,1,13,10,9,11,0,3,0,6,East
13,9,1,1,1,1,6,6,4,13,5,1,14,10,10,13,0,3,0,5,East
14,9,1,1,1,1,6,5,4,14,5,1,15,10,12,15,0,1,0,4,East
15,9,1,1,1,1,7,5,4,14,5,1,14,10,12,16,0,1,0,3,West
14,9,1,1,1,1,7,4,4,14,5,1,15,10,12,15,0,3,0,4,East
15,9,1,1,1,1,6,4,4,13,5,1,15,11,14,15,0,2,0,3,North
15,10,1,1,1,1,5,4,4,14,5,1,15,11,16,15,0,2,0,4,North
15,11,1,1,1,1,4,4,3,14,5,1,15,12,18,15,0,0,0,5,West
14,11,1,1,1,1,4,4,2,14,5,1,7,1,17,15,0,0,0,6,West
13,11,1,1,1,1,4,3,2,14,5,1,7,1,17,14,0,0,0,7,West
12,11,1,1,1,1,4,4,2,13,5,1,7,1,15,12,0,0,0,8,West
11,11,1,1,1,1,4,5,2,12,5,1,7,1,13,10,0,0,0,9,West
10,11,1,1,1,1,4,5,2,12,5,1,7,1,12,9,0,0,0,10,West
9,11,1,1,1,1,4,4,1,12,5,1,7,1,12,9,0,0,0,11,West
8,11,1,1,1,1,3,4,1,11,5,1,7,1,12,7,0,0,0,12,West
7,11,1,1,1,1,4,4,2,11,5,1,7,1,10,5,0,0,0,13,West
6,11,1,1,1,1,4,5,2,12,5,1,7,1,8,5,0,0,0,14,West
4,9,1,1,0,1,8,4,2,13,5,1,7,1,9,6,0,0,0,14,West
