@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
5,6,1,1,0,0,3,4,9,13,0,-3,4,0,6,-3,11,-3,-6,East,-7
6,6,1,1,0,0,4,2,7,11,-1,-3,2,0,5,-2,9,-3,-7,East,-8
7,6,1,1,0,1,4,1,7,10,-2,-2,1,0,4,-3,7,-3,-8,East,191
8,6,1,1,0,0,6,0,6,9,-3,-3,-5,-5,3,-3,6,-3,191,East,190
9,6,1,1,0,0,8,0,4,9,-5,-3,-6,-5,2,-2,5,-3,190,East,189
10,6,1,1,0,0,8,0,3,7,-5,-3,-7,-5,1,-2,5,-3,189,East,188
11,6,1,1,0,0,8,0,3,6,-5,-3,-8,-5,1,-2,3,-3,188,East,187
12,6,1,1,0,0,8,0,3,5,-6,-2,-9,-5,0,-3,2,-3,187,East,186
13,6,1,1,0,0,10,0,5,3,-7,-3,-10,-5,-2,-3,1,-3,186,East,185
14,6,1,1,0,1,10,0,6,5,-7,-3,-11,-5,-3,-3,-1,-3,185,South,184
14,5,0,0,1,1,8,0,6,3,-6,-2,-11,-4,-4,-2,-2,-2,184,South,183
14,4,1,1,1,1,8,0,4,2,-7,-1,-11,-3,-3,-1,-1,-1,183,South,182
14,3,1,1,1,0,7,0,3,2,-7,0,-11,-2,-3,0,-1,0,182,West,181
13,3,1,1,1,0,7,0,3,1,-7,0,-10,-2,-2,1,-1,0,181,West,380
12,3,1,1,1,0,6,0,1,0,-6,0,-9,-2,-1,0,-5,-2,380,West,579
11,3,1,1,1,0,6,0,0,0,-5,1,-8,-2,-6,-2,-4,-2,579,West,578
10,3,1,1,1,0,5,0,0,0,-4,1,-7,-2,-5,-2,-3,-2,578,West,577
9,3,1,1,1,0,3,0,0,0,-2,1,-6,-2,-4,-2,-2,-2,577,West,576
8,3,1,1,1,0,2,0,0,0,-1,1,-5,-2,-3,-2,-1,-2,576,West,575
7,3,1,1,1,0,2,0,0,0,0,2,-4,-2,-2,-2,0,-2,575,West,574
6,3,1,1,1,0,2,0,0,0,1,1,-3,-2,-1,-2,1,-2,574,North,573
6,4,1,1,0,1,2,0,0,0,2,0,-3,-3,-1,-3,1,-3,573,Stop,572
6,4,1,1,0,1,3,0,0,0,2,-1,-3,-3,-1,-3,1,-3,572,East,571
1,6,0,1,0,1,7,7,13,15,5,-2,7,0,10,-3,15,0,0,Stop,-1
1,6,0,1,0,1,7,7,13,15,5,-2,7,0,10,-3,15,0,-1,Stop,-2
1,6,0,1,0,1,7,7,13,15,5,-2,7,0,10,-3,15,0,-2,East,-3
2,6,1,1,0,0,6,6,12,14,4,-2,6,0,9,-3,14,0,-3,East,-4
3,6,1,1,0,0,5,5,11,13,3,-2,5,0,8,-3,13,0,-4,East,-5
4,6,1,1,0,0,4,4,10,12,2,-2,4,0,7,-3,12,0,-5,East,-6
5,6,1,1,0,0,3,3,9,11,1,-2,3,0,6,-3,11,0,-6,East,-7
6,6,1,1,0,0,2,2,8,10,0,-2,2,0,5,-3,10,0,-7,East,-8
7,6,1,1,0,1,3,1,7,9,-1,-2,1,0,4,-3,9,0,-8,East,191
8,6,1,1,0,0,4,0,6,8,-2,-2,-5,-5,3,-3,8,0,191,East,190
9,6,1,1,0,0,5,0,5,7,-3,-2,-6,-5,2,-3,7,0,190,East,189
10,6,1,1,0,0,6,0,4,6,-4,-2,-7,-5,1,-3,6,0,189,East,188
11,6,1,1,0,0,7,0,3,5,-5,-2,-8,-5,0,-3,5,0,188,East,187
12,6,1,1,0,0,8,0,4,4,-6,-2,-9,-5,-1,-3,4,0,187,East,186
13,6,1,1,0,0,9,0,5,3,-7,-2,-10,-5,-2,-3,3,0,186,East,185
14,6,1,1,0,1,10,0,6,2,-8,-2,-11,-5,-3,-3,2,0,185,East,184
15,6,1,1,0,0,11,0,7,1,-9,-2,-12,-5,-4,-3,1,0,184,East,383
16,6,1,1,0,1,12,0,8,0,-10,-2,-13,-5,-5,-3,-9,-5,383,South,382
16,5,0,0,1,1,11,0,7,0,-10,-1,-13,-4,-5,-2,-9,-4,382,South,381
16,4,1,1,1,1,10,0,6,0,-10,0,-13,-3,-5,-1,-9,-3,381,South,380
16,3,1,1,1,0,11,0,5,0,-10,1,-13,-2,-5,0,-9,-2,380,West,379
15,3,1,1,1,0,10,0,4,0,-9,1,-12,-2,-4,0,-8,-2,379,West,378
14,3,1,1,1,0,9,0,3,0,-8,1,-11,-2,-3,0,-7,-2,378,West,377
13,3,1,1,1,0,8,0,2,0,-7,1,-10,-2,-2,0,-6,-2,377,West,376
12,3,1,1,1,0,7,0,1,0,-6,1,-9,-2,-1,0,-5,-2,376,West,575
11,3,1,1,1,0,6,0,0,0,-5,1,-8,-2,-6,-2,-4,-2,575,North,574
11,4,1,1,0,1,5,0,0,0,-5,0,-8,-3,-6,-3,-4,-3,574,West,573
10,4,1,1,0,1,4,0,0,0,-4,0,-7,-3,-5,-3,-3,-3,573,West,572
9,4,1,1,0,1,3,0,0,0,-3,0,-6,-3,-4,-3,-2,-3,572,West,571
8,4,1,1,0,1,2,0,0,0,-2,0,-5,-3,-3,-3,-1,-3,571,West,570
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,0,Stop,-1
1,3,0,1,1,0,6,5,8,5,0,6,0,5,1,7,2,4,-1,Stop,-2
1,3,0,1,1,0,7,6,7,6,0,7,0,6,1,6,1,4,-2,Stop,-3
1,3,0,1,1,0,6,6,6,5,0,6,0,6,1,5,2,4,-3,East,-4
2,3,1,1,1,0,7,6,5,5,-1,6,0,6,0,5,1,3,-4,East,95
3,3,1,1,1,0,8,6,7,4,-2,6,0,6,-2,5,0,4,95,North,94
3,4,1,1,1,1,6,6,5,2,-2,4,-1,5,-2,3,0,3,94,North,193
3,5,1,1,1,1,4,6,3,2,-2,2,-1,5,-2,1,0,1,193,North,192
3,6,1,1,1,1,3,4,3,1,-2,1,-1,3,-2,-1,1,0,192,North,191
3,7,1,1,1,1,3,4,3,3,-2,-1,-1,3,-2,-1,1,-1,191,North,190
3,8,1,1,1,1,5,3,5,5,-2,-3,-1,2,-2,-3,2,-2,190,North,289
3,9,1,1,1,1,5,2,7,7,-1,-4,-1,1,-2,-5,2,-4,289,North,488
3,10,1,1,0,1,5,0,7,9,-1,-4,0,-9,-2,-5,2,-6,488,West,487
2,10,1,1,0,1,5,0,5,11,1,-4,1,-9,0,-5,3,-7,487,South,486
2,9,1,1,1,1,5,0,3,9,2,-3,1,-8,0,-3,4,-6,486,South,485
2,8,1,1,1,1,5,0,3,7,2,-3,1,-7,0,-3,4,-4,485,South,484
2,7,1,1,1,1,4,0,2,7,2,-2,1,-6,0,-2,4,-2,484,South,483
2,6,1,1,1,1,3,0,1,6,2,-1,1,-5,0,-1,5,-1,483,South,682
2,5,1,1,1,1,2,0,0,6,2,0,1,-4,3,-4,5,0,682,East,681
3,5,1,1,1,1,2,0,0,4,1,-1,0,-4,2,-4,4,1,681,East,680
4,5,1,1,1,1,2,0,0,4,0,-2,-1,-4,1,-4,2,1,680,East,679
5,5,1,1,1,1,3,0,0,4,-1,-2,-2,-4,0,-4,1,2,679,North,678
5,6,1,1,1,1,5,0,0,2,-2,-3,-2,-5,0,-5,2,1,678,North,677
5,7,1,1,1,1,6,0,0,2,-2,-4,-2,-6,0,-6,2,-1,677,East,676
6,7,1,1,1,1,6,0,0,2,-2,-4,-3,-6,-1,-6,1,0,676,East,675
7,7,1,0,1,1,6,0,0,2,-2,-4,-4,-6,-2,-6,0,1,675,South,674
